"","protesterviolence","stateresponse1","prop"
"1","No","Accomodation",0.0649972632731253
"2","No","Arrests",0.0604816639299398
"3","No","Beatings",0.0121784345922277
"4","No","Crowd Dispersal",0.14463601532567
"5","No","Ignore",0.697865353037767
"6","No","Killings",0.00437876299945265
"7","No","Shootings",0.0154625068418172
"8","Yes","Accomodation",0.0292625829106516
"9","Yes","Arrests",0.11783066718689
"10","Yes","Beatings",0.0542333203277409
"11","Yes","Crowd Dispersal",0.547015216543114
"12","Yes","Ignore",0.147483417869684
"13","Yes","Killings",0.0358954350370659
"14","Yes","Shootings",0.0682793601248537
